he_xia,吓,,
mang,氓,,
mang,茫,,
mang,莽,,
mao,猫,,
mao,毛,,
mao,髦,,
mao,矛,,
mao,茅,,
mao,锚,,
mao,卯,,
mao,铆,,
mao,耄,,
mao,茂,,
mao,冒,,
mao,帽,,
mao,贸,,
mao,貌,,
mei_mo,没,,
mei,玫,,
mei,枚,,
mei,眉,,
mei,莓,,
mei,梅,,
mei,酶,,
mei,霉,,
mei,媒,,
mei,煤,,
mei,每,,
mei,美,,
mei,镁,,
mei,妹,,
mei,昧,,
mei,寐,,
mei,魅,,
mei,袂,,
mei,媚,,
men,闷,,
men,门,,
men,焖,,
men,懑,,
men,们,,
meng,蒙,,
meng,萌,,
meng,盟,,
meng,檬,,
meng,朦,,
meng,瞢,,
meng,猛,,
meng,锰,,
meng,懵,,
meng,孟,,
meng,梦,,
mi,咪,,
mi,眯,,
mi,弥,,
mi,迷,,
mi,谜,,
mi,醚,,
mi,糜,,
mi,米,,
mi,靡,,
mi,觅,,
mi,泌,,
mi,秘,,
mi,密,,
mi,蜜,,
mian,眠,,
mian,绵,,
mian,棉,,
mian,免,,
mian,勉,,
mian,娩,,
mian,冕,,
mian,缅,,
mian,腼,,
mian,面,,
miao,喵,,
miao,苗,,
miao,描,,
miao,瞄,,
miao,秒,,
miao,渺,,
miao,缈,,
miao,藐,,
miao,妙,,
miao,庙,,
mie,咩,,
mie,灭,,
mie,蔑,,
mie,篾,,
min,民,,
min,岷,,
min,皿,,
min,闵,,
min,悯,,
min,闽,,
min,抿,,
min,泯,,
min,敏,,
ming,名,,
ming,铭,,
ming,明,,
ming,鸣,,
ming,冥,,
ming,瞑,,
ming,酩,,
ming,命,,
miu,谬,,
mo,末,,
mo,摸,,
mo_mou,谋,,
mo,馍,,
mo,摹,,
mo_mu,模,,
mo,膜,,
mo,麽,,
mo,磨,,
mo,蘑,,
mo,魔,,
mo,茉,,
mo,沫,,
mo,殁,,
mo,陌,,
mo,莫,,
mo,漠,,
mo,寞,,
mo,墨,,
mo,默,,
mou,哞,,
mou,牟,,
mou,眸,,
mou,缪,,
mou,某,,
mu,母,,
mu,拇,,
mu,姆,,
mu,牡,,
mu,亩,,
mu,木,,
mu,沐,,
mu,目,,
mu,苜,,
mu,牧,,
mu,募,,
mu,墓,,
mu,幕,,
mu,暮,,
mu,慕,,
mu,睦,,
mu,穆,,
na,拿,,
na_ne_nei,哪,,
na_nei,那,,
na,娜,,
na,呐,,
na,纳,,
na,钠,,
na,衲,,
na,捺,,
nai,乃,,
nai,奶,,
nai,奈,,
nai,萘,,
nai,耐,,
nan,囝,,
nan,囡,,
nan,男,,
nan,南,,
nan,喃,,
nan,楠,,
nan,难,,
nan,腩,,
nang,囊,,
nang,囔,,
nang,馕,,
nang,攮,,
nao,孬,,
nao,挠,,
nao,铙,,
nao,蛲,,
nao,垴,,
nao,恼,,
nao,脑,,
nao,闹,,
nao,淖,,
ne,讷,,
ne_ni,呢,,
nei,馁,,
nei,内,,
nen,恁,,
nen,嫩,,
neng,能,,
ni,妮,,
ni,尼,,
ni,泥,,
ni,倪,,
ni,霓,,
ni,拟,,
ni,你,,
ni,昵,,
ni,逆,,
ni,匿,,
ni,腻,,
ni_niao,溺,,
nian,拈,,
nian,蔫,,
nian,年,,
nian_zhan,粘,,
nian,黏,,
nian,鲶,,
nian,捻,,
nian,辇,,
nian,撵,,
nian,碾,,
nian,廿,,
nian,念,,
niang,娘,,
niang,酿,,
niao,鸟,,
niao,袅,,
niao,嬲,,
niao_sui,尿,,
nie,捏,,
nie,涅,,
nie,聂,,
nie,嗫,,
nie,镊,,
nie,蹑,,
nie,臬,,
nie,镍,,
nie,孽,,
nie,蘖,,
nin,您,,
ning,宁,,
ning,拧,,
ning,咛,,
ning,狞,,
ning,柠,,
ning,凝,,
ning,泞,,
ning,佞,,
niu,妞,,
niu,牛,,
niu,扭,,
niu,忸,,
niu,纽,,
niu,钮,,
nong,农,,
nong,侬,,
nong,哝,,
nong,浓,,
nong,脓,,
u,n,,
u,u,,
u,奴,,
u,孥,,
u,驽,,
u,努,,
u,弩,,
u,怒,,
nuu,女,,
nuu,恧,,
nuu,衄,,
nuan,暖,,
nuue,疟,,
nuue,虐,,
nuo,挪,,
nuo,诺,,
nuo_re,喏,,
nuo,搦,,
nuo,懦,,
nuo,糯,,
o,噢,,
ou,讴,,
ou,瓯,,
ou,欧,,
ou,殴,,
ou,鸥,,
ou,呕,,
ou,偶,,
ou,藕,,
ou,沤,,
ou,怄,,
pa,趴,,
pa,啪,,
pa,葩,,
pa,杷,,
pa,爬,,
pa,耙,,
pa,琶,,
pa,帕,,
pa,怕,,
pai,拍,,
pai,排,,
pai,徘,,
pai,牌,,
pai_po,迫,,
pai,哌,,
pai,派,,
pai,湃,,
pan,潘,,
pan,攀,,
pan_pang,胖,,
pan,盘,,
pan,磐,,
pan,蟠,,
pan,判,,
pan,叛,,
pan,畔,,
pan,盼,,
pang,乓,,
pang,滂,,
pang,彷,,
pang,庞,,
pang,旁,,
pang,螃,,
pang,耪,,
pao,抛,,
pao,泡,,
pao,刨,,
pao,咆,,
pao,狍,,
pao,炮,,
pao,袍,,
pao,跑,,
pao,庖,,
pei,呸,,
pei,胚,,
pei,醅,,
pei,陪,,
pei,培,,
pei,赔,,
pei,锫,,
pei,裴,,
pei,沛,,
pei,霈,,
pei,帔,,
pei,佩,,
pei,配,,
pen,喷,,
pen,盆,,
peng,抨,,
peng,怦,,
peng,砰,,
peng,烹,,
peng,嘭,,
peng,澎,,
peng,朋,,
peng,棚,,
peng,硼,,
peng,鹏,,
peng,彭,,
peng,膨,,
peng,蓬,,
peng,篷,,
peng,捧,,
peng,碰,,
pi,丕,,
pi,邳,,
pi,坯,,
pi,批,,
pi,纰,,
pi,砒,,
pi,披,,
pi,劈,,
pi,噼,,
pi,霹,,
pi,皮,,
pi_po,陂,,
pi,疲,,
pi,枇,,
pi,毗,,
pi,蚍,,
pi,琵,,
pi,貔,,
pi,郫,,
pi,埤,,
pi,啤,,
pi,脾,,
pi,匹,,
pi,痞,,
pi,擗,,
pi,癖,,
pi,屁,,
pi,媲,,
pi,睥,,
pi,僻,,
pian,片,,
pian,偏,,
pian,篇,,
pian,翩,,
pian,骈,,
pian,谝,,
pian,骗,,
piao,剽,,
piao,漂,,
piao,缥,,
piao,飘,,
piao_po_pu,朴,,
piao,嫖,,
piao,瓢,,
piao,殍,,
piao,瞟,,
piao,票,,
piao,嘌,,
piao,骠,,
pie,撇,,
pie,瞥,,
pin,拚,,
pin,拼,,
pin,姘,,
pin,贫,,
pin,频,,
pin,嫔,,
pin,品,,
pin,骋,,
ping,乒,,
ping,娉,,
ping,平,,
ping,评,,
ping,坪,,
ping,苹,,
ping,萍,,
ping,凭,,
ping,瓶,,
po,坡,,
po,颇,,
po,泼,,
po,婆,,
po,鄱,,
po,叵,,
po,珀,,
po,粕,,
po,破,,
pou,剖,,
pu,仆,,
pu,扑,,
pu,铺,,
pu,噗,,
pu,匍,,
pu,葡,,
pu,莆,,
pu,蒲,,
pu,菩,,
pu,璞,,
pu,濮,,
pu,埔,,
pu,圃,,
pu,浦,,
pu,普,,
pu,谱,,
pu,蹼,,
qi,七,,
qi,柒,,
qi,沏,,
qi_qi,妻,,
qi,凄,,
qi,萋,,
qi_xi,栖,,
qi,戚,,
qi,嘁,,
qi,期,,
qi,欺,,
qi,蹊,,
qi,漆,,
qi,齐,,
qi,脐,,
qi,祁,,
qi,祈,,
qi,芪,,
qi_zhi,祗,,
qi,岐,,
qi,歧,,
qi,其,,
qi,萁,,
qi,棋,,
qi,祺,,
qi,旗,,
qi,麒,,
qi,崎,,
qi,骑,,
qi,琦,,
qi,耆,,
qi,鳍,,
qi,畦,,
qi,乞,,
qi,岂,,
qi,杞,,
qi,起,,
qi,企,,
qi,启,,
qi,绮,,
qi,气,,
qi,汽,,
qi,讫,,
qi,迄,,
qi,弃,,
qi,泣,,
qi,契,,
qi,砌,,
qi,器,,
qi,憩,,
qi,荠,,
qia,掐,,
qia,洽,,
qia,恰,,
qia,髌,,
qian,千,,
qian,仟,,
qian,阡,,
qian,扦,,
qian,迁,,
qian,钎,,
qian,签,,
qian,牵,,
qian,铅,,
qian,谦,,
qian,骞,,
qian,黔,,
qian,前,,
qian,虔,,
qian,钱,,
qian,钳,,
qian,掮,,
qian,乾,,
qian,潜,,
qian,遣,,
qian,谴,,
qian,欠,,
qian,芡,,
qian,嵌,,
qian_xian,纤,,
qian_xi,茜,,
qian,倩,,
qian,堑,,
qian_qie,慊,,
qian,歉,,
qiang,呛,,
qiang,枪,,
qiang,戗,,
qiang,羌,,
qiang,腔,,
qiang,锵,,
qiang,强,,
qiang,墙,,
qiang,蔷,,
qiang,抢,,
qiang,襁,,
qiang,炝,,
qiang,跄,,
qiao,悄,,
qiao,跷,,
qiao_que,雀,,
qiao,锹,,
qiao,敲,,
qiao,橇,,
qiao,乔,,
qiao,侨,,
qiao,荞,,
qiao,桥,,
qiao,翘,,
qiao,谯,,
qiao,憔,,
qiao,樵,,
qiao,瞧,,
qiao,巧,,
qiao,俏,,
qiao,峭,,
qiao_shao,鞘,,
qiao,窍,,
qie,切,,
qie,伽,,
qie,茄,,
qie,且,,
qie,窃,,
qie,郄,,
qie,妾,,
qie,怯,,
qie,挈,,
qie,锲,,
qie,惬,,
qie,趄,,
qin,钦,,
qin,侵,,
qin_qing,亲,,
qin,芹,,
qin,芩,,
qin,琴,,
qin,秦,,
qin,禽,,
qin,擒,,
qin,噙,,
qin,勤,,
qin,寝,,
qin,沁,,
qing,青,,
qing,圊,,
qing,清,,
qing,蜻,,
qing,轻,,
qing,氢,,
qing,倾,,
qing,卿,,
qing,情,,
qing,晴,,
qing,擎,,
qing,顷,,
qing,请,,
qing,謦,,
qing,庆,,
qing,箐,,
qing,磬,,
qiong,穷,,
qiong,穹,,
qiong,琼,,
qiu,丘,,
qiu,邱,,
qiu,蚯,,
qiu,秋,,
qiu,囚,,
qiu,泅,,
qiu,求,,
qiu,俅,,
qiu,逑,,
qiu,球,,
qiu,酋,,
qiu,糗,,
qu,区,,
qu,岖,,
qu,驱,,
qu,躯,,
qu,曲,,
qu,蛐,,
qu,诎,,
qu,屈,,
qu,祛,,
qu,蛆,,
qu,趋,,
qu,渠,,
qu,取,,
qu,娶,,
qu,龋,,
qu,去,,
qu,趣,,
qu,觑,,
quan,权,,
quan,全,,
quan,痊,,
quan,醛,,
quan,泉,,
quan,拳,,
quan,蜷,,
quan,劝,,
quan,券,,
que,鹊,,
que,炔,,
que,缺,,
que,瘸,,
que,却,,
que,确,,
que,榷,,
qun,裙,,
qun,群,,
ran,髯,,
ran,然,,
ran,燃,,
ran,冉,,
ran,染,,
rang,嚷,,
rang,穰,,
rang,瓤,,
rang,壤,,
rang,攘,,
rang,让,,
rao,饶,,
rao,娆,,
rao,扰,,
rao,绕,,
re,惹,,
re,热,,
ren,人,,
ren,壬,,
ren_ren,任,,
ren,仁,,
ren,忍,,
ren,荏,,
ren,稔,,
ren,刃,,
ren,仞,,
ren,纫,,
ren,韧,,
ren,轫,,
ren,认,,
ren,饪,,
ren,妊,,
ren,葚,,
reng,扔,,
reng,仍,,
ri,日,,
rong,戎,,
rong,绒,,
rong,茸,,
rong,荣,,
rong,嵘,,
rong,容,,
rong,蓉,,
rong,溶,,
rong,榕,,
rong,熔,,
rong,融,,
rou,柔,,
rou,揉,,
rou,蹂,,
rou,鞣,,
rou,肉,,
ru,如,,
ru,茹,,
ru,儒,,
ru,濡,,
ru,孺,,
ru,蠕,,
ru,汝,,
ru,乳,,
ru,辱,,
ru,入,,
ru,褥,,
ruan,阮,,
ruan,软,,
rui,蕊,,
rui,芮,,
rui,锐,,
rui,瑞,,
rui,睿,,
run,闰,,
run,润,,
ruo,若,,
ruo,偌,,
ruo,弱,,
sa,仨,,
sa,撒,,
sa,洒,,
sa,卅,,
sa,飒,,
sa,萨,,
sa,挲,,
sai,腮,,
sai,鳃,,
sai_se,塞,,
sai,噻,,
sai,赛,,
san,三,,
san,叁,,
san,伞,,
san,散,,
san,馓,,
san_shen,糁,,
sang,丧,,
sang,桑,,
sang,搡,,
sang,嗓,,
sao,搔,,
sao,骚,,
sao,缫,,
sao,臊,,
sao,扫,,
sao,嫂,,
sao,埽,,
sao,瘙,,
se_shai,色,,
se,涩,,
se,啬,,
se,瑟,,
sen,森,,
seng,僧,,
sha,杀,,
sha,刹,,
sha,沙,,
sha,莎,,
sha,痧,,
sha,裟,,
sha,鲨,,
sha,纱,,
sha,砂,,
sha,煞,,
sha,啥,,
sha,傻,,
sha_xia,厦,,
sha,霎,,
shai,筛,,
shai,晒,,
shan,山,,
shan,舢,,
shan,杉,,
shan,衫,,
shan,删,,
shan,姗,,
shan,珊,,
shan_zha,栅,,
shan,跚,,
shan,苫,,
shan,扇,,
shan,煽,,
shan,膻,,
shan,闪,,
shan,陕,,
shan,讪,,
shan,汕,,
shan,疝,,
shan,骟,,
shan,善,,
shan,缮,,
shan,膳,,
shan,鳝,,
shan,擅,,
shan,嬗,,
shan,赡,,
shan,蟮,,
shang,伤,,
shang,殇,,
shang,商,,
shang,墒,,
shang,上,,
shang,垧,,
shang,晌,,
shang,赏,,
shang,尚,,
shang,绱,,
shang,裳,,
shao,捎,,
shao,梢,,
shao,稍,,
shao,筲,,
shao,艄,,
shao,烧,,
shao,勺,,
shao,芍,,
shao_tiao,苕,,
shao,韶,,
shao,少,,
shao,邵,,
shao,劭,,
shao,绍,,
shao,哨,,
she,奢,,
she,赊,,
she,畲,,
she,猞,,
she,舌,,
she_zhe,折,,
she,佘,,
she,蛇,,
she,舍,,
she,设,,
she,社,,
she,射,,
she,麝,,
she,涉,,
she,赦,,
she,摄,,
she,慑,,
she,歙,,
shei_shui,谁,,
shen,申,,
shen,伸,,
shen,呻,,
shen,绅,,
shen,砷,,
shen,身,,
shen_xin,莘,,
shen,娠,,
shen,深,,
shen_shi,什,,
shen_shen,甚,,
shen,神,,
shen,沈,,
shen,审,,
shen,婶,,
shen,肾,,
shen,渗,,
shen,蜃,,
shen,慎,,
sheng,升,,
sheng,生,,
sheng,牲,,
sheng,笙,,
sheng,甥,,
sheng,声,,
sheng,绳,,
sheng_xing,省,,
sheng,圣,,
sheng,胜,,
sheng,晟,,
sheng,盛,,
sheng,剩,,
sheng,嵊,,
shi,尸,,
shi,失,,
shi,师,,
shi,狮,,
shi,诗,,
shi,虱,,
shi,施,,
shi,湿,,
shi_xu,嘘,,
shi,十,,
shi,石,,
shi,时,,
shi_zhi,识,,
shi,实,,
shi,拾,,
shi_si,食,,
shi,蚀,,
shi,史,,
shi,驶,,
shi,矢,,
shi,豕,,
shi,使,,
shi,始,,
shi,屎,,
shi,士,,
shi,仕,,
shi,氏,,
shi,舐,,
shi,示,,
shi,世,,
shi,市,,
shi,柿,,
shi,式,,
shi,试,,
shi,拭,,
shi,弑,,
shi_si,似,,
shi,势,,
shi,事,,
shi,侍,,
shi_zhi,峙,,
shi,恃,,
shi,饰,,
shi,视,,
shi,是,,
shi,适,,
shi,室,,
shi,逝,,
shi,誓,,
shi,莳,,
shi,释,,
shi,谥,,
shi,嗜,,
shi,噬,,
shi_zhe,螫,,
shou,收,,
shou_shu,熟,,
shou,手,,
shou,守,,
shou,首,,
shou,寿,,
shou,受,,
shou,授,,
shou,绶,,
shou,狩,,
shou,售,,
shou,兽,,
shou,瘦,,
shu,书,,
shu,抒,,
shu,纾,,
shu,舒,,
shu,枢,,
shu,叔,,
shu,菽,,
shu,淑,,
shu,姝,,
shu,殊,,
shu,梳,,
shu,疏,,
shu,蔬,,
shu,输,,
shu,秫,,
shu,孰,,
shu,塾,,
shu,赎,,
shu,暑,,
shu,署,,
shu,薯,,
shu,曙,,
shu,黍,,
shu_zhu,属,,
shu,蜀,,
shu,鼠,,
shu_shuo,数,,
shu_zhu,术,,
shu,述,,
shu,戍,,
shu,束,,
shu,树,,
shu,竖,,
shu,腧,,
shu,恕,,
shu,庶,,
shu,墅,,
shu,漱,,
shu,澍,,
shua,刷,,
shua,唰,,
shua,耍,,
shuai,衰,,
shuai,摔,,
shuai,甩,,
shuai,帅,,
shuai,蟀,,
shuan,闩,,
shuan,拴,,
shuan,栓,,
shuan,涮,,
shuang,双,,
shuang,霜,,
shuang,孀,,
shuang,爽,,
shui,水,,
shui_shuo,说,,
shui,税,,
shui,睡,,
shun,吮,,
shun,顺,,
shun,舜,,
shun,瞬,,
shuo,妁,,
shuo,烁,,
shuo,铄,,
shuo,朔,,
shuo,硕,,
si,私,,
si,司,,
si,丝,,
si,咝,,
si,思,,
si,斯,,
si,厮,,
si,撕,,
si,嘶,,
si,死,,
si,巳,,
si,祀,,
si,四,,
si,泗,,
si,驷,,
si,寺,,
si,姒,,
si,饲,,
si,嗣,,
si,俟,,
si,肆,,
song,忪,,
song,松,,
song,凇,,
song,淞,,
song,嵩,,
song,怂,,
song,耸,,
song,悚,,
song,讼,,
song,颂,,
song,宋,,
song,送,,
song,诵,,
sou,搜,,
sou,嗖,,
sou,馊,,
sou,溲,,
sou,飕,,
sou,艘,,
sou,叟,,
sou,嗾,,
sou,擞,,
sou,嗽,,
su,苏,,
su,酥,,
su,俗,,
su,夙,,
su,诉,,
su,肃,,
su,素,,
su,嗉,,
su,速,,
su_xiu,宿,,
su_suo,缩,,
su,粟,,
su,谡,,
su,塑,,
su,溯,,
su,蔌,,
su,簌,,
suan,狻,,
suan,酸,,
suan,蒜,,
suan,算,,
sui,虽,,
sui,荽,,
sui,眭,,
sui,绥,,
sui,隋,,
sui,随,,
sui,遂,,
sui,髓,,
sui,岁,,
sui,碎,,
sui,隧,,
sui,燧,,
sui,穗,,
sun,孙,,
sun,荪,,
sun,狲,,
sun,飧,,
sun,损,,
sun,笋,,
sun,榫,,
suo,唆,,
suo,梭,,
suo,羧,,
suo,蓑,,
suo,所,,
suo,索,,
suo,唢,,
suo,琐,,
suo,锁,,
suo,嗦,,
ta,他,,
ta,她,,
ta,它,,
ta,趿,,
ta,塌,,
ta,踏,,
ta,塔,,
ta,獭,,
ta_tuo,拓,,
ta,沓,,
ta,榻,,
tai,台,,
tai,苔,,
tai,胎,,
tai,抬,,
tai,跆,,
tai,太,,
tai,汰,,
tai,态,,
tai,肽,,
tai,钛,,
tai,泰,,
tan,坍,,
tan,贪,,
tan,摊,,
tan,滩,,
tan,瘫,,
tan,坛,,
tan,昙,,
tan,谈,,
tan,痰,,
tan,覃,,
tan,谭,,
tan,潭,,
tan,檀,,
tan,忐,,
tan,坦,,
tan,袒,,
tan,毯,,
tan,叹,,
tan,炭,,
tan,碳,,
tan,探,,
tang,汤,,
tang,耥,,
tang,趟,,
tang,镗,,
tang,唐,,
tang,塘,,
tang,搪,,
tang,糖,,
tang,堂,,
tang,棠,,
tang,樘,,
tang,膛,,
tang,螳,,
tang,帑,,
tang,倘,,
tang,淌,,
tang,躺,,
tang,傥,,
tang,烫,,
tao,涛,,
tao,焘,,
tao,绦,,
tao,掏,,
tao,滔,,
tao,韬,,
tao,逃,,
tao,桃,,
tao,陶,,
tao,萄,,
tao,啕,,
tao,淘,,
tao,讨,,
tao,套,,
te_tui,忒,,
te,特,,
te,慝,,
te,忑,,
teng,疼,,
teng,腾,,
teng,誊,,
teng,滕,,
teng,藤,,
ti,体,,
ti,剔,,
ti,踢,,
ti,梯,,
ti,锑,,
ti,提,,
ti,缇,,
ti,题,,
ti,啼,,
ti,蹄,,
ti,屉,,
ti,剃,,
ti,涕,,
ti,倜,,
ti,惕,,
ti,替,,
ti,嚏,,
tian,天,,
tian,添,,
tian,田,,
tian,恬,,
tian,甜,,
tian,填,,
tian,忝,,
tian,舔,,
tian,腆,,
tian,掭,,
tiao,佻,,
tiao_tiao,挑,,
tiao,条,,
tiao,迢,,
tiao,笤,,
tiao,窕,,
tiao,眺,,
tiao,跳,,
tiao,粜,,
tie,帖,,
tie,贴,,
tie,萜,,
tie,铁,,
ting,厅,,
ting,汀,,
ting,听,,
ting,烃,,
ting,廷,,
ting,莛,,
ting,庭,,
ting,蜓,,
ting,霆,,
ting,亭,,
ting,停,,
ting,婷,,
ting,挺,,
ting,铤,,
ting,艇,,
tong,通,,
tong,仝,,
tong,同,,
tong,茼,,
tong,桐,,
tong,铜,,
tong,佟,,
tong,彤,,
tong,童,,
tong_zhuang,僮,,
tong,潼,,
tong,瞳,,
tong,筒,,
tong,统,,
tong,捅,,
tong,桶,,
tong,恸,,
tong,痛,,
tou,偷,,
tou,头,,
tou,投,,
tou,骰,,
tou,透,,
tu,凸,,
tu,秃,,
tu,突,,
tu,图,,
tu,荼,,
tu,途,,
tu,涂,,
tu,徒,,
tu,屠,,
tu,土,,
tu,吐,,
tu,兔,,
tu,菟,,
tuan,湍,,
tuan,团,,
tuan,抟,,
tuan,疃,,
tui,推,,
tui,颓,,
tui,腿,,
tui,退,,
tui,煺,,
tui_tun,褪,,
tui,蜕,,
tun,吞,,
tun,屯,,
tun,饨,,
tun,豚,,
tun,臀,,
tuo,托,,
tuo,拖,,
tuo,脱,,
tuo,佗,,
tuo,陀,,
tuo,驼,,
tuo,鸵,,
tuo,妥,,
tuo,椭,,
tuo,唾,,
wa,挖,,
wa,哇,,
wa,洼,,
wa,蛙,,
wa,娲,,
wa,娃,,
wa,瓦,,
wa,佤,,
wa,袜,,
wai,歪,,
wai,崴,,
wai,外,,
wan,弯,,
wan,湾,,
wan,剜,,
wan,蜿,,
wan,豌,,
wan,丸,,
wan,纨,,
wan,完,,
wan,玩,,
wan,顽,,
wan,烷,,
wan,宛,,
wan,惋,,
wan,婉,,
wan,碗,,
wan,脘,,
wan,皖,,
wan,挽,,
wan,晚,,
wan,绾,,
wan,万,,
wan,腕,,
wang,亡,,
wang,汪,,
wang,王,,
wang,网,,
wang,罔,,
wang,惘,,
wang,辋,,
wang,魍,,
wang,枉,,
wang,往,,
wang,旺,,
wang,望,,
wang,妄,,
wang,忘,,
wei,危,,
wei,委,,
wei,逶,,
wei,巍,,
wei,威,,
wei,偎,,
wei,煨,,
wei,微,,
wei,薇,,
wei,韦,,
wei,违,,
wei,围,,
wei,帏,,
wei,为,,
wei_xu,圩,,
wei,桅,,
wei,唯,,
wei,帷,,
wei,惟,,
wei,维,,
wei,潍,,
wei,伟,,
wei,苇,,
wei,纬,,
wei,玮,,
wei,炜,,
wei,伪,,
wei_yi,尾,,
wei,娓,,
wei,诿,,
wei,萎,,
wei,痿,,
wei,猥,,
wei,卫,,
wei,未,,
wei,味,,
wei,位,,
wei,畏,,
wei,喂,,
wei,胃,,
wei,谓,,
wei,猬,,
wei,渭,,
wei_yu,尉,,
wei_yu,蔚,,
wei,慰,,
wei,魏,,
wen,温,,
wen,瘟,,
wen,文,,
wen,纹,,
wen,蚊,,
wen,雯,,
wen,闻,,
wen,刎,,
wen,吻,,
wen,紊,,
wen,稳,,
wen,问,,
weng,翁,,
weng,嗡,,
weng,瓮,,
wo,挝,,
wo,莴,,
wo,涡,,
wo,窝,,
wo,蜗,,
wo,倭,,
wo,喔,,
wo,我,,
wo,沃,,
wo,卧,,
wo,握,,
wo,幄,,
wo,龌,,
wo,斡,,
wu,乌,,
wu,呜,,
wu,钨,,
wu,圬,,
wu,污,,
wu,巫,,
wu,诬,,
wu,屋,,
wu,无,,
wu,芜,,
wu,毋,,
wu,吾,,
wu,唔,,
wu,梧,,
wu,吴,,
wu,蜈,,
wu,五,,
wu,伍,,
wu,午,,
wu,忤,,
wu,妩,,
wu,武,,
wu,鹉,,
wu,侮,,
wu,捂,,
wu,舞,,
wu,兀,,
wu,勿,,
wu,物,,
wu,坞,,
wu,戊,,
wu,务,,
wu,雾,,
wu,误,,
wu,悟,,
wu,晤,,
wu,焐,,
wu,鹜,,
xi,夕,,
xi,汐,,
xi,矽,,
xi,兮,,
xi,西,,
xi,牺,,
xi,硒,,
xi,吸,,
xi,希,,
xi,稀,,
xi,昔,,
xi,惜,,
xi,析,,
xi,淅,,
xi,晰,,
xi,蜥,,
xi,息,,
xi,熄,,
xi,螅,,
xi,奚,,
xi,溪,,
xi,悉,,
xi,蟋,,
xi,犀,,
xi,樨,,
xi,锡,,
xi,熙,,
xi,僖,,
xi,嘻,,
xi,嬉,,
xi,熹,,
xi,膝,,
xi,曦,,
xi,醯,,
xi,习,,
xi,席,,
xi,袭,,
xi,媳,,
xi,隰,,
xi,洗,,
xi,铣,,
xi,玺,,
xi,徙,,
xi,屣,,
xi,喜,,
xi,禧,,
xi,戏,,
xi,细,,
xi,隙,,
xia,呷,,
xia,虾,,
xia,瞎,,
xia,匣,,
xia,狎,,
xia,侠,,
xia,峡,,
xia,狭,,
xia,硖,,
xia,遐,,
xia,瑕,,
xia,暇,,
xia,霞,,
xia,辖,,
xia,黠,,
xia,下,,
xia,夏,,
xian,仙,,
xian,籼,,
xian,先,,
xian,掀,,
xian,锨,,
xian,鲜,,
xian,闲,,
xian,娴,,
xian,痫,,
xian,贤,,
xian,弦,,
xian,舷,,
xian,咸,,
xian,涎,,
xian,衔,,
xian,嫌,,
xian,冼,,
xian,显,,
xian,险,,
xian,蚬,,
xian,藓,,
xian,苋,,
xian,现,,
xian,县,,
xian,限,,
xian,线,,
xian,宪,,
xian,陷,,
